Action,Side,Symbol,Size,Spot Entry Price,Spot Exit Price,Futures Entry Price,Futures Exit Price,Entry Time,Exit Time,Spot PnL (USD),Futures PnL (USD),Total Net PnL (USD),Holding Duration (minutes)
OPEN,LONG,NKNUSDT,406.504,0.0367,,0.0369,,,,,,,
CLOSE,LONG,NKNUSDT,406.504,0.0369,0.0367,0.0369,0.0368,2025-05-06 10:39:28,2025-05-06 10:39:39,-0.0813,0.0447,-0.0605,0.19
OPEN,LONG,NKNUSDT,409.836,0.0364,,0.0366,,,,,,,
CLOSE,LONG,NKNUSDT,409.836,0.0366,0.0364,0.0366,0.0365,2025-05-06 10:42:55,2025-05-06 10:43:05,-0.082,0.0492,-0.0567,0.17
OPEN,LONG,NKNUSDT,410.959,0.0364,,0.0365,,,,,,,
CLOSE,LONG,NKNUSDT,410.959,0.0365,0.0362,0.0365,0.0362,2025-05-06 10:44:13,2025-05-06 10:44:29,-0.1233,0.1417,-0.0055,0.26
OPEN,LONG,NKNUSDT,412.088,0.0363,,0.0364,,,,,,,
CLOSE,LONG,NKNUSDT,412.088,0.0364,0.0363,0.0364,0.0364,2025-05-06 10:45:21,2025-05-06 10:45:30,-0.0412,0.0183,-0.0469,0.16
OPEN,LONG,NKNUSDT,409.836,0.0365,,0.0366,,,,,,,
CLOSE,LONG,NKNUSDT,409.836,0.0366,0.0366,0.0366,0.0366,2025-05-06 10:50:13,2025-05-06 10:50:24,0.0,-0.0099,-0.0339,0.18
OPEN,LONG,NKNUSDT,408.719,0.0366,,0.0367,,,,,,,
CLOSE,LONG,NKNUSDT,408.719,0.0367,0.0365,0.0367,0.0366,2025-05-06 10:50:54,2025-05-06 10:51:07,-0.0817,0.0503,-0.0554,0.2
OPEN,LONG,NKNUSDT,407.609,0.0367,,0.0368,,,,,,,
CLOSE,LONG,NKNUSDT,407.609,0.0368,0.0367,0.0368,0.0367,2025-05-06 10:53:38,2025-05-06 10:53:48,-0.0408,0.0367,-0.028,0.17
OPEN,LONG,NKNUSDT,407.609,0.0367,,0.0368,,,,,,,
CLOSE,LONG,NKNUSDT,407.609,0.0368,0.0367,0.0368,0.0367,2025-05-06 10:54:30,2025-05-06 10:54:41,-0.0408,0.025,-0.0397,0.18
OPEN,LONG,NKNUSDT,407.609,0.0367,,0.0368,,,,,,,
CLOSE,LONG,NKNUSDT,407.609,0.0368,0.0367,0.0368,0.0368,2025-05-06 10:54:54,2025-05-06 10:55:07,-0.0408,0.0015,-0.0633,0.21
OPEN,LONG,NKNUSDT,410.959,0.0363,,0.0365,,,,,,,
CLOSE,LONG,NKNUSDT,410.959,0.0365,0.0363,0.0365,0.0364,2025-05-06 11:21:10,2025-05-06 11:21:20,-0.0822,0.037,-0.0692,0.18
OPEN,LONG,NKNUSDT,418.994,0.0357,,0.0358,,,,,,,
CLOSE,LONG,NKNUSDT,418.994,0.0358,0.0356,0.0358,0.0357,2025-05-06 13:17:35,2025-05-06 13:17:45,-0.0838,0.0493,-0.0584,0.17
OPEN,LONG,NKNUSDT,420.168,0.0356,,0.0357,,,,,,,
CLOSE,LONG,NKNUSDT,420.168,0.0357,0.0357,0.0357,0.0357,2025-05-06 13:17:52,2025-05-06 13:18:02,0.0,-0.0126,-0.0366,0.16
OPEN,LONG,NKNUSDT,418.994,0.0357,,0.0358,,,,,,,
CLOSE,LONG,NKNUSDT,418.994,0.0358,0.0357,0.0358,0.0358,2025-05-06 13:20:02,2025-05-06 13:20:11,-0.0419,0.014,-0.0519,0.16
OPEN,LONG,NKNUSDT,418.994,0.0357,,0.0358,,,,,,,
CLOSE,LONG,NKNUSDT,418.994,0.0358,0.0358,0.0358,0.0359,2025-05-06 13:23:19,2025-05-06 13:23:28,0.0,-0.0275,-0.0515,0.16
OPEN,LONG,NKNUSDT,417.827,0.0358,,0.0359,,,,,,,
CLOSE,LONG,NKNUSDT,417.827,0.0359,0.0358,0.0359,0.0359,2025-05-06 13:25:33,2025-05-06 13:25:44,-0.0418,0.0042,-0.0616,0.18
OPEN,LONG,NKNUSDT,417.827,0.0358,,0.0359,,,,,,,
CLOSE,LONG,NKNUSDT,417.827,0.0359,0.0358,0.0359,0.0359,2025-05-06 13:26:50,2025-05-06 13:26:59,-0.0418,-0.0017,-0.0675,0.16
OPEN,LONG,NKNUSDT,405.405,0.036,,0.037,,,,,,,
CLOSE,LONG,NKNUSDT,405.405,0.037,0.0364,0.037,0.0365,2025-05-06 14:35:50,2025-05-06 14:36:37,-0.2432,0.219,-0.0481,0.78
OPEN,LONG,NKNUSDT,405.405,0.036,,0.037,,,,,,,
CLOSE,LONG,NKNUSDT,405.405,0.037,0.0364,0.037,0.0366,2025-05-06 14:36:45,2025-05-06 14:36:55,-0.2432,0.1754,-0.0917,0.16
OPEN,LONG,NKNUSDT,405.405,0.036,,0.037,,,,,,,
CLOSE,LONG,NKNUSDT,405.405,0.037,0.0364,0.037,0.0364,2025-05-06 14:38:33,2025-05-06 14:38:43,-0.2432,0.227,-0.04,0.18
OPEN,LONG,NKNUSDT,405.405,0.036,,0.037,,,,,,,
CLOSE,LONG,NKNUSDT,405.405,0.037,0.0365,0.037,0.0366,2025-05-06 14:42:11,2025-05-06 14:42:21,-0.2027,0.1733,-0.0533,0.17
OPEN,LONG,NKNUSDT,405.405,0.036,,0.037,,,,,,,
CLOSE,LONG,NKNUSDT,405.405,0.037,0.0365,0.037,0.0366,2025-05-06 14:42:30,2025-05-06 14:42:42,-0.2027,0.1768,-0.0497,0.19
OPEN,LONG,NKNUSDT,405.405,0.036,,0.037,,,,,,,
CLOSE,LONG,NKNUSDT,405.405,0.037,0.0365,0.037,0.0366,2025-05-06 14:42:49,2025-05-06 14:43:00,-0.2027,0.177,-0.0495,0.18
OPEN,LONG,NKNUSDT,405.405,0.036,,0.037,,,,,,,
CLOSE,LONG,NKNUSDT,405.405,0.037,0.0366,0.037,0.0366,2025-05-06 14:43:09,2025-05-06 14:43:18,-0.1622,0.1622,-0.0239,0.16
OPEN,LONG,NKNUSDT,405.405,0.036,,0.037,,,,,,,
CLOSE,LONG,NKNUSDT,405.405,0.037,0.0365,0.037,0.0365,2025-05-06 14:51:37,2025-05-06 14:51:48,-0.2027,0.2003,-0.0263,0.18
